,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
23,"frozenset({'Atingido_Alagamentos', 'Tem_Instr_Deslizamento'})","frozenset({'Tem_RR_Des', 'Atingido_Seca', 'Atingido_Enxurrada'})",0.24666666666666667,0.06888888888888889,0.06888888888888889,0.27927927927927926,4.0540540540540535,0.051896296296296295,1.2919166666666668,1.0
27,"frozenset({'Atingido_Alagamentos', 'Tem_Instr_Deslizamento'})","frozenset({'Tem_RR_Seca', 'Atingido_Seca', 'Atingido_Enxurrada', 'Tem_RR_Des'})",0.24666666666666667,0.06666666666666667,0.06666666666666667,0.2702702702702703,4.054054054054054,0.050222222222222224,1.2790123456790123,1.0000000000000002
30,"frozenset({'Atingido_Alagamentos', 'Tem_Instr_Deslizamento'})","frozenset({'Tem_RR_Des', 'Atingido_Seca', 'Atingido_Enxurrada', 'Atingido_Enchente'})",0.24666666666666667,0.06444444444444444,0.06444444444444444,0.26126126126126126,4.054054054054054,0.048548148148148146,1.2664227642276422,1.0
33,"frozenset({'Atingido_Alagamentos', 'Tem_Instr_Deslizamento'})","frozenset({'Tem_RR_Des', 'Atingido_Enchente', 'Atingido_Enxurrada', 'Tem_RR_Seca', 'Atingido_Seca'})",0.24666666666666667,0.06222222222222222,0.06222222222222222,0.25225225225225223,4.0540540540540535,0.04687407407407407,1.254136546184739,1.0
54,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_ATV_P&DC', 'Nao_Tem_RR_Enxurrada', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
58,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_ATV_P&DC', 'Nao_Tem_RR_Enxurrada', 'Nao_Tem_Instr_Municipais', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
62,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enxurrada', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
66,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enxurrada', 'Nao_ATV_P&DC', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
74,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Medida_Estrutural_RRD', 'Nao_Tem_RR_Enxurrada', 'Nao_Tem_Instr_Municipais', 'TO'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
82,frozenset({'Nao_Tem_RR_Enchente'}),"frozenset({'Nao_Tem_Instr_Municipais', 'TO', 'Nao_Tem_Medida_Estrutural_RRD', 'Nao_ATV_P&DC', 'Nao_Tem_RR_Enxurrada'})",0.24222222222222223,0.06888888888888889,0.06888888888888889,0.28440366972477066,4.128440366972478,0.05220246913580247,1.3011680911680914,1.0
90,"frozenset({'Tem_RR_Des', 'Atingido_Enchente'})","frozenset({'Nao_Tem_RR_Enchente', 'Tem_Instr_Deslizamento'})",0.24666666666666667,0.07111111111111111,0.07111111111111111,0.2882882882882883,4.054054054054054,0.053570370370370365,1.3051476793248944,1.0
